Location ,Lat,Lon
Dunwoody GA,33.9462125,-84.3346473
Rockledge FL,28.3164498,-80.72698539999999
Ebey Island WA,47.9695409,-122.1618
Battle Creek MI,42.3211522,-85.17971419999999
Irving TX,32.8140177,-96.9488945
Sallisaw OK,35.4603711,-94.7874463
Millville NJ,39.4020596,-75.0393438
Pueblo CO,38.2544472,-104.6091409
Tulsa OK,36.1539816,-95.99277500000001
Crescent City CA,41.7557501,-124.2025913
Chatham County GA,31.9994194,-81.1196075
League City TX,29.5074538,-95.0949303
Bradenton FL,27.4989278,-82.5748194
Idaho Falls ID,43.49266069999999,-112.0407584
Sparks NV,39.5349112,-119.7526886
Union Township MI,43.5878073,-84.8255097
Little Orleans MD,39.625925,-78.3864002
Houston TX,29.7604267,-95.3698028
San Antonio TX,29.4241219,-98.49362819999999
Buford GA,34.1206564,-84.0043513
Austin TX,30.267153,-97.7430608
Las Vegas NV,36.1699412,-115.1398296
Rock Falls IL,41.7797533,-89.68899669999999
Alton IL,38.8906038,-90.1842764
Walton IN,40.6608726,-86.24194
Jackson MS,32.2987573,-90.1848103
London KY,37.1289771,-84.08326459999999
Baltimore MD,39.2903848,-76.6121893
Chamblee GA,33.8920468,-84.29881259999999
Conroe TX,30.3118769,-95.45605119999999
Bronx NY,40.8447819,-73.8648268
Pink OK,35.2606255,-97.1197478
St. James MN,43.9820734,-94.62831919999999
Arvada CO,39.8027644,-105.0874842
Waverly OH,39.1267349,-82.9854553
Harrisburg PA,40.2731911,-76.8867008
Peoria IL,40.6936488,-89.5889864
Oklahoma City OK,35.4675602,-97.5164276
Louisville KY,38.2526647,-85.7584557
Clayton GA,34.8781479,-83.4009933
Helena MT,46.5891452,-112.0391057
Charlotte NC,35.2270869,-80.8431267
Winters TX,31.9565343,-99.96231300000001
Atlanta GA,33.7489954,-84.3879824
Reading MA,42.5256563,-71.0952891
Gulfport MS,30.3674198,-89.0928155
Los Angeles CA,34.0522342,-118.2436849
Nice CA,39.1232253,-122.848327
Colorado Springs CO,38.8338816,-104.8213634
St. Augustine FL,29.9012437,-81.31243409999999
Denver CO,39.7392358,-104.990251
Laguna Woods CA,33.6101702,-117.7251162
Lantana FL,26.5867358,-80.05198589999999
Antioch CA,38.0049214,-121.805789
Grant-Valkaria FL,27.939804,-80.571043
Locust Grove GA,33.3459495,-84.109083
Flagstaff AZ,35.1982836,-111.651302
Columbus OH,39.9611755,-82.99879419999999
Aurora CO,39.7294319,-104.8319195
